"peak_id","height","seasons","sex","age","success","solo","died","members"
"AMAD",6814,"Autumn","F",32,TRUE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",39,FALSE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",18,TRUE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",62,FALSE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,10
"AMAD",6814,"Autumn","M",54,TRUE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",50,TRUE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",42,TRUE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",24,TRUE,FALSE,FALSE,1
"AMAD",6814,"Autumn","M",30,FALSE,FALSE,FALSE,2
"AMAD",6814,"Autumn","M",41,FALSE,FALSE,FALSE,2
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",57,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","F",29,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",44,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",45,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",51,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",54,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE,1
"AMAD",6814,"Autumn","M",35,FALSE,FALSE,FALSE,1
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",37,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",29,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",38,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",38,FALSE,FALSE,FALSE,6
"AMAD",6814,"Winter","M",48,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",28,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",37,TRUE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",31,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","F",32,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",46,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",31,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",52,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",32,TRUE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",42,FALSE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",31,TRUE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",31,FALSE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",48,FALSE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",26,FALSE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",33,FALSE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",29,TRUE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",36,FALSE,FALSE,FALSE,7
"AMAD",6814,"Winter","M",23,TRUE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",26,TRUE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",27,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",43,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",43,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",27,TRUE,FALSE,FALSE,13
"AMAD",6814,"Winter","F",41,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",34,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",47,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",26,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",54,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",29,TRUE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",26,FALSE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",33,TRUE,FALSE,FALSE,13
"AMAD",6814,"Winter","M",37,FALSE,FALSE,FALSE,13
"AMAD",6814,"Spring","M",32,FALSE,FALSE,FALSE,5
"AMAD",6814,"Spring","M",34,FALSE,FALSE,FALSE,5
"AMAD",6814,"Spring","M",28,FALSE,FALSE,FALSE,5
"AMAD",6814,"Spring","F",30,FALSE,FALSE,FALSE,5
"AMAD",6814,"Spring","M",40,FALSE,FALSE,FALSE,5
"AMAD",6814,"Spring","M",32,FALSE,FALSE,FALSE,3
"AMAD",6814,"Spring","F",44,FALSE,FALSE,FALSE,3
"AMAD",6814,"Spring","M",42,FALSE,FALSE,FALSE,3
"AMAD",6814,"Spring","M",30,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",32,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",30,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",28,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",43,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",31,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",44,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",54,TRUE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",20,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",40,TRUE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",24,FALSE,FALSE,FALSE,7
"AMAD",6814,"Spring","M",22,FALSE,FALSE,FALSE,1
"AMAD",6814,"Spring","M",56,FALSE,FALSE,FALSE,1
"AMAD",6814,"Spring","M",40,TRUE,FALSE,FALSE,6
"AMAD",6814,"Spring","F",28,TRUE,FALSE,FALSE,6
"AMAD",6814,"Spring","M",26,TRUE,FALSE,FALSE,6
"AMAD",6814,"Spring","M",48,TRUE,FALSE,FALSE,6
"AMAD",6814,"Spring","M",39,FALSE,FALSE,FALSE,6
"AMAD",6814,"Spring","F",25,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",26,TRUE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",25,FALSE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",23,FALSE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",24,FALSE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",24,FALSE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",24,FALSE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",25,FALSE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE,8
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",48,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","F",38,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",49,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","F",25,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",38,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",57,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",20,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",42,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","F",30,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",32,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",51,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",50,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",35,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","F",24,TRUE,FALSE,FALSE,2
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,2
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","F",36,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",57,FALSE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",33,FALSE,FALSE,FALSE,12
"AMAD",6814,"Autumn","F",31,FALSE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",25,FALSE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",25,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","F",33,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE,12
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",27,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",51,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",56,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",33,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","F",28,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",32,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",19,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","F",27,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",50,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",47,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",41,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",47,FALSE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",44,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",31,FALSE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",37,FALSE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",56,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",51,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",37,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",47,FALSE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",56,FALSE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",22,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",31,FALSE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","F",37,TRUE,FALSE,FALSE,15
"AMAD",6814,"Autumn","M",43,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",59,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",40,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",46,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","M",62,TRUE,FALSE,FALSE,5
"AMAD",6814,"Autumn","F",25,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","F",25,FALSE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",31,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","F",35,FALSE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",39,TRUE,FALSE,FALSE,7
"AMAD",6814,"Autumn","M",28,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",34,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",36,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",29,TRUE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",33,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",35,FALSE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",47,FALSE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",40,FALSE,FALSE,FALSE,4
"AMAD",6814,"Autumn","F",28,FALSE,FALSE,FALSE,4
"AMAD",6814,"Autumn","M",29,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",34,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",36,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",46,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",40,FALSE,FALSE,FALSE,6
"AMAD",6814,"Autumn","M",23,FALSE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",30,TRUE,FALSE,FALSE,3
"AMAD",6814,"Autumn","M",48,TRUE,FALSE,FALSE,3
"AMAD",6814,"Winter","M",40,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","F",43,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",49,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",46,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",39,TRUE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",39,TRUE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",38,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",53,TRUE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",24,TRUE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",49,FALSE,FALSE,FALSE,8
"AMAD",6814,"Winter","M",33,FALSE,FALSE,FALSE,4
"AMAD",6814,"Winter","M",26,FALSE,FALSE,FALSE,4
"AMAD",6814,"Winter","M",30,FALSE,FALSE,FALSE,4
"AMAD",6814,"Winter","M",55,FALSE,FALSE,FALSE,4
"AMAD",6814,"Spring","M",29,FALSE,FALSE,FALSE,3
"AMAD",6814,"Spring","M",41,FALSE,FALSE,FALSE,4
"AMAD",6814,"Spring","M",37,FALSE,FALSE,FALSE,1
"AMAD",6814,"Spring","M",35,FALSE,FALSE,FALSE,1
"AMAD",6814,"Spring","F",43,FALSE,FALSE,FALSE,4
"AMAD",6814,"Spring","M",44,FALSE,FALSE,FALSE,4
"AMAD",6814,"Spring","M",30,FALSE,FALSE,FALSE,4
"AMAD",6814,"Spring","M",44,FALSE,FALSE,FALSE,4
"AMAD",6814,"Spring","M",28,FALSE,FALSE,FALSE,2
"AMAD",6814,"Spring","M",43,FALSE,FALSE,FALSE,2
